[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 500000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 44491
[Resume] Loaded from /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_4.pth (epoch 4)
[Epoch 5] Step 50/62500 Loss: 0.0284 | 0.13s/step | ETA 02:18m
[Epoch 5] Step 100/62500 Loss: 0.0287 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 150/62500 Loss: 0.0310 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 200/62500 Loss: 0.0286 | 0.07s/step | ETA 01:13m
[Epoch 5] Step 250/62500 Loss: 0.0282 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 300/62500 Loss: 0.0291 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 350/62500 Loss: 0.0275 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 400/62500 Loss: 0.0282 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 450/62500 Loss: 0.0287 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 500/62500 Loss: 0.0327 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 550/62500 Loss: 0.0302 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 600/62500 Loss: 0.0293 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 650/62500 Loss: 0.0292 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 700/62500 Loss: 0.0296 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 750/62500 Loss: 0.0289 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 800/62500 Loss: 0.0311 | 0.07s/step | ETA 01:12m
[Epoch 5] Step 850/62500 Loss: 0.0314 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 900/62500 Loss: 0.0303 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 950/62500 Loss: 0.0296 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1000/62500 Loss: 0.0303 | 0.08s/step | ETA 01:22m
[Epoch 5] Step 1050/62500 Loss: 0.0302 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1100/62500 Loss: 0.0293 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1150/62500 Loss: 0.0286 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1200/62500 Loss: 0.0281 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1250/62500 Loss: 0.0316 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1300/62500 Loss: 0.0306 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1350/62500 Loss: 0.0285 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1400/62500 Loss: 0.0303 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1450/62500 Loss: 0.0305 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1500/62500 Loss: 0.0290 | 0.07s/step | ETA 01:11m
[Epoch 5] Step 1550/62500 Loss: 0.0290 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1600/62500 Loss: 0.0297 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1650/62500 Loss: 0.0302 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1700/62500 Loss: 0.0306 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1750/62500 Loss: 0.0288 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1800/62500 Loss: 0.0274 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1850/62500 Loss: 0.0274 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1900/62500 Loss: 0.0295 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 1950/62500 Loss: 0.0297 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2000/62500 Loss: 0.0294 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2050/62500 Loss: 0.0293 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2100/62500 Loss: 0.0271 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2150/62500 Loss: 0.0292 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2200/62500 Loss: 0.0306 | 0.07s/step | ETA 01:13m
[Epoch 5] Step 2250/62500 Loss: 0.0308 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2300/62500 Loss: 0.0285 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2350/62500 Loss: 0.0299 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2400/62500 Loss: 0.0303 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2450/62500 Loss: 0.0297 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2500/62500 Loss: 0.0300 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2550/62500 Loss: 0.0289 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2600/62500 Loss: 0.0302 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2650/62500 Loss: 0.0292 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2700/62500 Loss: 0.0295 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2750/62500 Loss: 0.0298 | 0.07s/step | ETA 01:10m
[Epoch 5] Step 2800/62500 Loss: 0.0306 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2850/62500 Loss: 0.0287 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2900/62500 Loss: 0.0297 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 2950/62500 Loss: 0.0287 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 3000/62500 Loss: 0.0297 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 3050/62500 Loss: 0.0281 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 3100/62500 Loss: 0.0294 | 0.07s/step | ETA 01:09m
[Epoch 5] Step 3150/62500 Loss: 0.0314 | 0.07s/step | ETA 01:09m
