[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 50000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 5000
[Epoch 1] Step 3450/6250 Loss: 0.0553 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3500/6250 Loss: 0.0574 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3550/6250 Loss: 0.0581 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3600/6250 Loss: 0.0550 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3650/6250 Loss: 0.0546 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3700/6250 Loss: 0.0551 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3750/6250 Loss: 0.0535 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3800/6250 Loss: 0.0539 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3850/6250 Loss: 0.0541 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3900/6250 Loss: 0.0515 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 3950/6250 Loss: 0.0518 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4000/6250 Loss: 0.0516 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4050/6250 Loss: 0.0524 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4100/6250 Loss: 0.0535 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4150/6250 Loss: 0.0537 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4200/6250 Loss: 0.0519 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4250/6250 Loss: 0.0523 | 0.06s/step | ETA 00:02m
[Epoch 1] Step 4300/6250 Loss: 0.0536 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4350/6250 Loss: 0.0503 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4400/6250 Loss: 0.0529 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4450/6250 Loss: 0.0524 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4500/6250 Loss: 0.0497 | 0.06s/step | ETA 00:01m
