[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 85000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 8000
[Resume] Loaded from /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_1.pth (epoch 1)
[Epoch 2] Step 50/10625 Loss: 0.0543 | 0.18s/step | ETA 00:31m
[Epoch 2] Step 100/10625 Loss: 0.0528 | 0.07s/step | ETA 00:12m
[Epoch 2] Step 150/10625 Loss: 0.0495 | 0.07s/step | ETA 00:12m
[Epoch 2] Step 200/10625 Loss: 0.0483 | 0.07s/step | ETA 00:12m
[Epoch 2] Step 250/10625 Loss: 0.0494 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 300/10625 Loss: 0.0530 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 350/10625 Loss: 0.0497 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 400/10625 Loss: 0.0486 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 450/10625 Loss: 0.0476 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 500/10625 Loss: 0.0464 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 550/10625 Loss: 0.0465 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 600/10625 Loss: 0.0467 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 650/10625 Loss: 0.0451 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 700/10625 Loss: 0.0472 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 750/10625 Loss: 0.0459 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 800/10625 Loss: 0.0466 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 850/10625 Loss: 0.0459 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 900/10625 Loss: 0.0483 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 950/10625 Loss: 0.0467 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 1000/10625 Loss: 0.0458 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 1050/10625 Loss: 0.0430 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 1100/10625 Loss: 0.0422 | 0.07s/step | ETA 00:11m
[Epoch 2] Step 1150/10625 Loss: 0.0430 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1200/10625 Loss: 0.0449 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1250/10625 Loss: 0.0433 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1300/10625 Loss: 0.0432 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1350/10625 Loss: 0.0423 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1400/10625 Loss: 0.0447 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1450/10625 Loss: 0.0432 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1500/10625 Loss: 0.0415 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1550/10625 Loss: 0.0441 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1600/10625 Loss: 0.0434 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1650/10625 Loss: 0.0483 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1700/10625 Loss: 0.0436 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1750/10625 Loss: 0.0450 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1800/10625 Loss: 0.0455 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1850/10625 Loss: 0.0413 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1900/10625 Loss: 0.0438 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 1950/10625 Loss: 0.0429 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2000/10625 Loss: 0.0436 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2050/10625 Loss: 0.0422 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2100/10625 Loss: 0.0413 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2150/10625 Loss: 0.0408 | 0.07s/step | ETA 00:10m
[Epoch 2] Step 2200/10625 Loss: 0.0497 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2250/10625 Loss: 0.0469 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2300/10625 Loss: 0.0432 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2350/10625 Loss: 0.0418 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2400/10625 Loss: 0.0432 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2450/10625 Loss: 0.0419 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2500/10625 Loss: 0.0465 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2550/10625 Loss: 0.0442 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2600/10625 Loss: 0.0424 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2650/10625 Loss: 0.0421 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2700/10625 Loss: 0.0417 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2750/10625 Loss: 0.0435 | 0.07s/step | ETA 00:09m
[Epoch 2] Step 2800/10625 Loss: 0.0419 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 2850/10625 Loss: 0.0420 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 2900/10625 Loss: 0.0433 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 2950/10625 Loss: 0.0424 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3000/10625 Loss: 0.0406 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3050/10625 Loss: 0.0402 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3100/10625 Loss: 0.0416 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3150/10625 Loss: 0.0394 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3200/10625 Loss: 0.0395 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3250/10625 Loss: 0.0400 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3300/10625 Loss: 0.0418 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3350/10625 Loss: 0.0403 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3400/10625 Loss: 0.0400 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3450/10625 Loss: 0.0420 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3500/10625 Loss: 0.0417 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3550/10625 Loss: 0.0408 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3600/10625 Loss: 0.0399 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3650/10625 Loss: 0.0392 | 0.07s/step | ETA 00:08m
[Epoch 2] Step 3700/10625 Loss: 0.0403 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 3750/10625 Loss: 0.0387 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 3800/10625 Loss: 0.0402 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 3850/10625 Loss: 0.0398 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 3900/10625 Loss: 0.0383 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 3950/10625 Loss: 0.0393 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4000/10625 Loss: 0.0382 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4050/10625 Loss: 0.0385 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4100/10625 Loss: 0.0401 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4150/10625 Loss: 0.0435 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4200/10625 Loss: 0.0415 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4250/10625 Loss: 0.0397 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4300/10625 Loss: 0.0397 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4350/10625 Loss: 0.0391 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4400/10625 Loss: 0.0367 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4450/10625 Loss: 0.0384 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4500/10625 Loss: 0.0384 | 0.07s/step | ETA 00:07m
[Epoch 2] Step 4550/10625 Loss: 0.0387 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4600/10625 Loss: 0.0409 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4650/10625 Loss: 0.0403 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4700/10625 Loss: 0.0422 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4750/10625 Loss: 0.0416 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4800/10625 Loss: 0.0396 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4850/10625 Loss: 0.0385 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4900/10625 Loss: 0.0442 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 4950/10625 Loss: 0.0405 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5000/10625 Loss: 0.0407 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5050/10625 Loss: 0.0420 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5100/10625 Loss: 0.0391 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5150/10625 Loss: 0.0377 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5200/10625 Loss: 0.0397 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5250/10625 Loss: 0.0395 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5300/10625 Loss: 0.0370 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5350/10625 Loss: 0.0390 | 0.07s/step | ETA 00:06m
[Epoch 2] Step 5400/10625 Loss: 0.0369 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5450/10625 Loss: 0.0376 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5500/10625 Loss: 0.0373 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5550/10625 Loss: 0.0367 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5600/10625 Loss: 0.0374 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5650/10625 Loss: 0.0386 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5700/10625 Loss: 0.0372 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5750/10625 Loss: 0.0395 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5800/10625 Loss: 0.0381 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5850/10625 Loss: 0.0383 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5900/10625 Loss: 0.0368 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 5950/10625 Loss: 0.0358 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6000/10625 Loss: 0.0386 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6050/10625 Loss: 0.0377 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6100/10625 Loss: 0.0350 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6150/10625 Loss: 0.0370 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6200/10625 Loss: 0.0372 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6250/10625 Loss: 0.0377 | 0.07s/step | ETA 00:05m
[Epoch 2] Step 6300/10625 Loss: 0.0377 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6350/10625 Loss: 0.0379 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6400/10625 Loss: 0.0384 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6450/10625 Loss: 0.0377 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6500/10625 Loss: 0.0379 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6550/10625 Loss: 0.0365 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6600/10625 Loss: 0.0361 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6650/10625 Loss: 0.0360 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6700/10625 Loss: 0.0364 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6750/10625 Loss: 0.0358 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6800/10625 Loss: 0.0354 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6850/10625 Loss: 0.0375 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6900/10625 Loss: 0.0367 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 6950/10625 Loss: 0.0344 | 0.07s/step | ETA 00:04m
[Epoch 2] Step 7000/10625 Loss: 0.0352 | 0.07s/step | ETA 00:04m
