[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 200000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 20000
[Resume] Loaded from /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_2.pth (epoch 2)
[Epoch 3] Step 3350/25000 Loss: 0.0428 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3400/25000 Loss: 0.0450 | 0.07s/step | ETA 00:26m
[Epoch 3] Step 3450/25000 Loss: 0.0407 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3500/25000 Loss: 0.0423 | 0.07s/step | ETA 00:26m
[Epoch 3] Step 3550/25000 Loss: 0.0421 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3600/25000 Loss: 0.0433 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3650/25000 Loss: 0.0428 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3700/25000 Loss: 0.0416 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3750/25000 Loss: 0.0404 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3800/25000 Loss: 0.0397 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3850/25000 Loss: 0.0417 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3900/25000 Loss: 0.0407 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 3950/25000 Loss: 0.0428 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 4000/25000 Loss: 0.0400 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 4050/25000 Loss: 0.0416 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 4100/25000 Loss: 0.0402 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4150/25000 Loss: 0.0435 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 4200/25000 Loss: 0.0408 | 0.07s/step | ETA 00:25m
[Epoch 3] Step 4250/25000 Loss: 0.0411 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4300/25000 Loss: 0.0394 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4350/25000 Loss: 0.0431 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4400/25000 Loss: 0.0445 | 0.08s/step | ETA 00:25m
[Epoch 3] Step 4450/25000 Loss: 0.0419 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4500/25000 Loss: 0.0429 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4550/25000 Loss: 0.0407 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4600/25000 Loss: 0.0409 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4650/25000 Loss: 0.0387 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4700/25000 Loss: 0.0401 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4750/25000 Loss: 0.0394 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4800/25000 Loss: 0.0436 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4850/25000 Loss: 0.0413 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4900/25000 Loss: 0.0405 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 4950/25000 Loss: 0.0421 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5000/25000 Loss: 0.0392 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5050/25000 Loss: 0.0402 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5100/25000 Loss: 0.0388 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5150/25000 Loss: 0.0403 | 0.07s/step | ETA 00:24m
[Epoch 3] Step 5200/25000 Loss: 0.0410 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5250/25000 Loss: 0.0405 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5300/25000 Loss: 0.0402 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5350/25000 Loss: 0.0390 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5400/25000 Loss: 0.0413 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5450/25000 Loss: 0.0404 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5500/25000 Loss: 0.0425 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5550/25000 Loss: 0.0413 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5600/25000 Loss: 0.0422 | 0.08s/step | ETA 00:24m
[Epoch 3] Step 5650/25000 Loss: 0.0437 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5700/25000 Loss: 0.0415 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5750/25000 Loss: 0.0412 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5800/25000 Loss: 0.0406 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 5850/25000 Loss: 0.0407 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 5900/25000 Loss: 0.0390 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 5950/25000 Loss: 0.0406 | 0.07s/step | ETA 00:23m
[Epoch 3] Step 6000/25000 Loss: 0.0405 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6050/25000 Loss: 0.0389 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6100/25000 Loss: 0.0389 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6150/25000 Loss: 0.0400 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6200/25000 Loss: 0.0392 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6250/25000 Loss: 0.0399 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6300/25000 Loss: 0.0388 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6350/25000 Loss: 0.0389 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6400/25000 Loss: 0.0393 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6450/25000 Loss: 0.0383 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6500/25000 Loss: 0.0411 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6550/25000 Loss: 0.0394 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6600/25000 Loss: 0.0410 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6650/25000 Loss: 0.0398 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 6700/25000 Loss: 0.0400 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 6750/25000 Loss: 0.0405 | 0.07s/step | ETA 00:22m
[Epoch 3] Step 6800/25000 Loss: 0.0401 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 6850/25000 Loss: 0.0394 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 6900/25000 Loss: 0.0417 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 6950/25000 Loss: 0.0398 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7000/25000 Loss: 0.0404 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7050/25000 Loss: 0.0389 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7100/25000 Loss: 0.0395 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7150/25000 Loss: 0.0395 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7200/25000 Loss: 0.0403 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7250/25000 Loss: 0.0385 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7300/25000 Loss: 0.0373 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7350/25000 Loss: 0.0379 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7400/25000 Loss: 0.0393 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 7450/25000 Loss: 0.0378 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7500/25000 Loss: 0.0373 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7550/25000 Loss: 0.0383 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7600/25000 Loss: 0.0404 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7650/25000 Loss: 0.0370 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7700/25000 Loss: 0.0380 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7750/25000 Loss: 0.0362 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7800/25000 Loss: 0.0368 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7850/25000 Loss: 0.0403 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7900/25000 Loss: 0.0389 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 7950/25000 Loss: 0.0369 | 0.07s/step | ETA 00:21m
[Epoch 3] Step 8000/25000 Loss: 0.0387 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 8050/25000 Loss: 0.0369 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 8100/25000 Loss: 0.0380 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 8150/25000 Loss: 0.0398 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 8200/25000 Loss: 0.0368 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8250/25000 Loss: 0.0388 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8300/25000 Loss: 0.0390 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8350/25000 Loss: 0.0363 | 0.07s/step | ETA 00:20m
[Epoch 3] Step 8400/25000 Loss: 0.0382 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8450/25000 Loss: 0.0389 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8500/25000 Loss: 0.0382 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8550/25000 Loss: 0.0383 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8600/25000 Loss: 0.0394 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8650/25000 Loss: 0.0393 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8700/25000 Loss: 0.0396 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8750/25000 Loss: 0.0373 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8800/25000 Loss: 0.0414 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8850/25000 Loss: 0.0388 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8900/25000 Loss: 0.0375 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 8950/25000 Loss: 0.0385 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9000/25000 Loss: 0.0395 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 9050/25000 Loss: 0.0404 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9100/25000 Loss: 0.0394 | 0.07s/step | ETA 00:19m
[Epoch 3] Step 9150/25000 Loss: 0.0372 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9200/25000 Loss: 0.0374 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9250/25000 Loss: 0.0379 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9300/25000 Loss: 0.0372 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9350/25000 Loss: 0.0384 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9400/25000 Loss: 0.0379 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9450/25000 Loss: 0.0366 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9500/25000 Loss: 0.0359 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9550/25000 Loss: 0.0378 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9600/25000 Loss: 0.0343 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9650/25000 Loss: 0.0359 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9700/25000 Loss: 0.0350 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9750/25000 Loss: 0.0391 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 9800/25000 Loss: 0.0383 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9850/25000 Loss: 0.0380 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 9900/25000 Loss: 0.0371 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 9950/25000 Loss: 0.0384 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10000/25000 Loss: 0.0360 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10050/25000 Loss: 0.0362 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10100/25000 Loss: 0.0357 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10150/25000 Loss: 0.0343 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10200/25000 Loss: 0.0363 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10250/25000 Loss: 0.0363 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10300/25000 Loss: 0.0357 | 0.07s/step | ETA 00:18m
[Epoch 3] Step 10350/25000 Loss: 0.0360 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10400/25000 Loss: 0.0362 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10450/25000 Loss: 0.0361 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10500/25000 Loss: 0.0370 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10550/25000 Loss: 0.0375 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10600/25000 Loss: 0.0374 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10650/25000 Loss: 0.0363 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 10700/25000 Loss: 0.0362 | 0.07s/step | ETA 00:17m
[Epoch 3] Step 10750/25000 Loss: 0.0371 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 10800/25000 Loss: 0.0365 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 10850/25000 Loss: 0.0361 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 10900/25000 Loss: 0.0364 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 10950/25000 Loss: 0.0370 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11000/25000 Loss: 0.0350 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11050/25000 Loss: 0.0555 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11100/25000 Loss: 0.0442 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11150/25000 Loss: 0.0407 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11200/25000 Loss: 0.0385 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11250/25000 Loss: 0.0387 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11300/25000 Loss: 0.0406 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11350/25000 Loss: 0.0394 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11400/25000 Loss: 0.0373 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11450/25000 Loss: 0.0375 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11500/25000 Loss: 0.0357 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11550/25000 Loss: 0.0366 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11600/25000 Loss: 0.0365 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11650/25000 Loss: 0.0365 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 11700/25000 Loss: 0.0382 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 11750/25000 Loss: 0.0362 | 0.07s/step | ETA 00:16m
[Epoch 3] Step 11800/25000 Loss: 0.0367 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 11850/25000 Loss: 0.0377 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 11900/25000 Loss: 0.0353 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 11950/25000 Loss: 0.0358 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12000/25000 Loss: 0.0359 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12050/25000 Loss: 0.0358 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12100/25000 Loss: 0.0363 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12150/25000 Loss: 0.0347 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12200/25000 Loss: 0.0399 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12250/25000 Loss: 0.0364 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12300/25000 Loss: 0.0358 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12350/25000 Loss: 0.0336 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12400/25000 Loss: 0.0406 | 0.07s/step | ETA 00:15m
[Epoch 3] Step 12450/25000 Loss: 0.0379 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12500/25000 Loss: 0.0383 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12550/25000 Loss: 0.0361 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12600/25000 Loss: 0.0373 | 0.08s/step | ETA 00:15m
[Epoch 3] Step 12650/25000 Loss: 0.0370 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12700/25000 Loss: 0.0359 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12750/25000 Loss: 0.0350 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12800/25000 Loss: 0.0364 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12850/25000 Loss: 0.0377 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12900/25000 Loss: 0.0351 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 12950/25000 Loss: 0.0355 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 13000/25000 Loss: 0.0347 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 13050/25000 Loss: 0.0357 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 13100/25000 Loss: 0.0338 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 13150/25000 Loss: 0.0352 | 0.07s/step | ETA 00:14m
